id,idiom,en_meaning
456,big girl's blouse,"an insult suggesting that someone is weak, cowardly, or overly sensitive"
457,big head,an exaggerated sense of one's own importance or abilities
458,big hitter,an influential or powerful person
459,big mouth,a person who talks too much or reveals information that should be kept private
460,big wheel,"a person who has a lot of power, influence, or importance"
461,binge watch,To watch multiple episodes or an entire season of a TV show in one sitting or over a short period of time.
462,bird of passage,someone who stays in a place for only a short time and then moves on
463,bird's-eye view,an overall or general view from a high vantage point or a comprehensive understanding or perspective
464,birds of a feather,"people who are similar in character, interests, or background"
465,birds of a feather flock together,"people of similar interests, character, or backgrounds tend to stick together"
466,birthday suit,to be naked
467,bitch slap,to aggressively criticize or reprimand someone
468,bite _ bullet,to endure a difficult or unpleasant situation with courage and resilience
469,bite the dust,to suffer defeat or failure
470,bite _ lip,to suppress one's emotions or refrain from speaking out
471,bite _ tongue,to refrain from speaking; to hold back one's words or opinions in order to avoid causing offense or conflict
472,bite me,"an expression of defiance, challenge, or dismissiveness"
473,bite off more than can chew,to take on more responsibilities or tasks than one can handle
474,bite off more than you can chew,to take on more responsibilities or tasks than one can handle or manage
475,bite someone's head off,to speak to someone angrily or rudely
476,bite the big one,to die or fail in a significant or dramatic way
477,bite the bullet,to face a difficult or unpleasant situation with courage and determination
478,bite the dust,to be defeated or killed
479,bite the hand that feed,to harm or betray someone who has helped or supported you
480,bite tongue,"to refrain from speaking or expressing one's true thoughts or opinions, especially in a difficult or sensitive situation"
