Idiom,Meaning
고려공사 사흘, 착수한 일이 자주 변경됨을 비유적으로 이르는 말.
고름이 살 되랴,이미 그릇된 일이 다시 잘될 리 없다는 말.
고목에 꽃이 피랴,별로 기대할 것이 없는 것에 희망을 걸고 있을 필요는 없음을 비유적으로 이르는 말.
고목에 꽃이 핀다,보잘것없던 집안에 영화로운 일이 생기게 된 경우를 비유적으로 이르는 말.
고목에도 꽃을 피운다,몸은 늙었어도 계속 나라와 사회의 중요한 사람으로서 값있게 삶을 비유적으로 이르는 말.
고뿔도 제가끔 앓으랬다, 좋은 일이건 궂은 일이건 간에 각자가 저마다 독자적으로 해야 할 필요가 있음을 이르는 말.
고삐 놓은 말,"거칠게 행동하는 사람을 이르는 말.,구속이나 통제에서 벗어나 몸이 자유로움을 이르는 말."
고사리도 꺾을 때 꺾는다,"무슨 일이든 다 하여야 할 시기가 있는 것이니 그때를 놓치지 말고 하여야 한다는 말.,무슨 일을 시작하면 그 기회를 놓치지 말고 해치우라는 말."
고산강아지 감 꼬챙이 물고 나서듯 한다, 살림이 궁한 사람이 평소에 먹고 싶던 것과 비슷한 것만 보아도 좋아함을 이르는 말.
고생 끝에 낙이 온다,어려운 일이나 고된 일을 겪은 뒤에는 반드시 즐겁고 좋은 일이 생긴다는 말.
고생도 벌어 할 탓,같은 고생을 하더라도 자기가 어떻게 처신하는가에 따라 고생이 좀 덜할 수도 있고 더할 수도 있다는 말.
고생을 밥 먹듯 하다,자꾸만 고생을 하게 됨을 비유적으로 이르는 말.
고슴도치 외 따 지듯, 빚을 많이 짊어짐을 비유적으로 이르는 말.
고약으로는 속병을 고치지 못한다, 알맞은 대책이 아니고서는 일을 성사시킬 수 없음을 이르는 말.
고양이 간 골에 쥐 죽은 듯,겁이 나거나 놀라서 숨을 죽이고 꼼짝 못 하는 모양을 비유적으로 이르는 말.
고양이 도장에 든 것 같다,덜거덕거리면서 부스럭댐을 비유적으로 이르는 말.
고양이 만난 쥐,무서운 사람 앞에서 설설 기면서 꼼짝 못 한다는 말.
고양이 소 대가리 맡은 격,도저히 감당할 수 없으리만큼 매우 힘에 겨운 일을 맡음을 비유적으로 이르는 말.
고양이 수파 쓴 것 같다, 본래 못생긴 데다가 제 몸에 어울리지 않는 옷을 입은 모양을 비웃는 말.
고양이 우산 쓴 격,격에 어울리지 않는 꼴불견을 비유적으로 이르는 말.
고양이 죽 쑤어 줄 것 없고 새앙쥐 볼가심할 것 없다, 너무 가난해서 아무것도 먹을 것이 없음을 비유적으로 이르는 말.
고양이 죽는 데 쥐 눈물만큼,아주 없거나 있어도 매우 적을 때를 이르는 말.
고양이 쥐 어르듯,"상대편을 제 마음대로 가지고 노는 모양을 비유적으로 이르는 말.,당장에라도 잡아먹을 듯이 덤비는 모양을 이르는 말."
고양이가 알 낳을 노릇이다,터무니없는 거짓말 같은 일이라는 말.
고양이가 쥐를 마다한다,본디 좋아하는 것을 짐짓 싫다고 거절할 때 이를 비꼬는 말.
고양이와 개,서로 앙숙인 관계를 이르는 말.
고와도 내 님 미워도 내 님,좋으나 나쁘나 한번 정을 맺은 다음에야 말할 것이 없다는 말.
고욤 일흔이 감 하나만 못하다,좋지 못한 것이 아무리 많더라도 훌륭한 것 하나보다 쓸모가 없다는 말.
고인 물이 썩는다, 사람은 부지런히 일하고 자기 자신을 발전시켜야지 그저 가만히 있으면 제자리에 머물러 있거나 남보다 뒤떨어지기 마련임을 비유적으로 이르는 말.
고자리 먹고 자란 호박 꼴,주글주글하고 뒤틀려 있는 모양을 이르는 말.
고쟁이를 열두 벌 입어도 보일 것은 다 보인다," 요점을 얻지 못했다는 말.,일을 서투르게 하면 하지 아니한 것만 못하다는 말."
골 오르다,화가 치밀어 오르다.
골 저리다,찬 기운으로 뼛속까지 저리다.
골나면 보리방아 더 잘 찧는다,골이 난 김에 기가 올라 일이 더 잘 되어 가는 경우를 이르는 말.
골난 날 의붓아비 온다,"가뜩이나 화가 나서 참지 못하고 있는데 미운 사람이 찾아와 더욱 화를 돋우는 경우를 비유적으로 이르는 말.,한창 곤란한 일을 겪고 있을 때 반갑지 아니한 일이 겹쳐 찾아옴을 비유적으로 이르는 말."
골탕 먹이다,한꺼번에 크게 손해를 입히거나 낭패를 당하게 만들다.
곰의 발바닥도 꾀가 있다,아무리 미련하고 우둔한 사람이라도 제 살 궁리는 함을 비유적으로 이르는 말.
곰이라 발바닥 핥으랴, 먹을 것이라고는 전혀 없어 굶주림을 면하기 어려울 때를 이르는 말.
곱슬머리 옥니박이하고는 말도 말랬다,곱슬머리인 사람과 옥니박이인 사람은 흔히 인색하고 각박하다는 말.
공것 바라서 이마가 벗어졌다,"이마가 벗어진 사람을 놀림조로 이르는 말.,공짜를 좋아하는 사람을 놀림조로 이르는 말."
공부는 늙어 죽을 때까지 해도 다 못한다,지식을 넓히고 수준을 높이기 위해서는 일생 동안 끊임없이 배우고 학습해야 함을 강조하여 이르는 말.
공술 한 잔 보고 십 리 간다,공짜라면 무엇이든지 가리지 않고 닥치는 대로 거두어들이는 것을 비꼬는 말.
공연한 제사 지내고 어물값에 졸린다,공연한 짓을 해서 쓸데없이 그 후환을 입게 됨을 비유적으로 이르는 말.
공자도 제 사는 골에 먼저 비 오라고 했다, 사람은 누구나 자기와 가까운 문제부터 해결하려고 함을 비유적으로 이르는 말.
공중 뜨다,물건의 수량 따위가 계산 결과 모자라거나 없어지다.
공중에 나는 기러기도 길잡이는 한 놈이 한다,무슨 일을 하든지 오직 한 사람의 지휘자가 이끌고 나가야지 여러 사람들이 제각기 나서서 길잡이 노릇을 하려고 해서는 안 된다는 말.
곶감이 접 반이라도 입이 쓰다,마음에 안 맞아 기분이 안 좋음을 비유적으로 이르는 말.
과거 있다,어둡거나 복잡한 과거의 경험을 가지고 있다.
과부 은 팔아먹기,새로 벌지는 못하고 전에 벌어서 모아 두었던 재물을 쓰기만 함을 비유적으로 이르는 말.
과부 좋은 것과 소 좋은 것은 동네에서 나가지 않는다,질이 좋은 것은 누구나 귀히 여겨 가지려 하니 내침을 받음이 없음을 비유적으로 이르는 말.
과부 집 송아지 백정 부르러 간 줄 모르고 날뛴다,위급한 처지에 있으면서도 멋모르고 함부로 호기를 부림을 비유적으로 이르는 말.
과부는 은이 서 말,"과부는 살림살이가 알뜰하여 규모 있게 생활하므로 경제적으로 걱정이 없지만, 홀아비는 생활이 곤궁함을 비유적으로 이르는 말."
과부는 찬물만 먹어도 살이 찐다,남편 시중을 들지 않아도 되는 과부의 마음이 편안함을 비유적으로 이르는 말.
과부의 대 돈 오 푼 빚을 내서라도, 돈을 비싼 이자로라도 갖다 쓸 정도로 궁색함이 극도에 이른 사람의 처지를 이르는 말.
과일 망신은 모과가  시킨다,지지리 못난 사람일수록 같이 있는 동료를 망신시킨다는 말.
곽란에 약 지으러 보내면 좋겠다,급히 서둘러야 할 경우에도 미련하여 행동이 민첩하지 못함을 비꼬는 말.
관 돝 배 앓기,"근심이 있으나 누구 하나 알아주는 사람이 없이 혼자 끙끙 앓음을 비유적으로 이르는 말.,자기와는 아무 상관 없는 일이라는 말."
관 물 들다,오랜 관리 생활로 관료적인 영향을 받다.
관가 돼지 배 앓는 격,"근심이 있으나 누구 하나 알아주는 사람이 없이 혼자 끙끙 앓음을 비유적으로 이르는 말.,자기와는 아무 상관 없는 일이라는 말."
관가의 조세는 범보다도 더 무섭다,관가의 조세 약탈이 가혹하고 심함을 비유적으로 이르는 말.
관청 뜰에 좁쌀을 펴 놓고 군수가 새를 쫓는다," 관아에 너무나 할 일이 없음을 비유적으로 이르는 말.,할 일이 너무 없어서 일부러 일감을 만들어 심심풀이를 함을 비유적으로 이르는 말."
관청 물 먹다,국가의 관료로 생활을 하다.
괴 딸 아비, 그 내력을 도무지 알 수 없는 사람을 비유적으로 이르는 말.
괴 똥같이 싼다,똥을 조금씩 누는 것을 비유적으로 이르는 말.
괴 목에 방울 달고 뛴다, 우둔하게 위험한 행동을 하는 것을 풍자하여 이르는 말.
괴 밥 먹듯 한다,음식을 이리저리 헤집어 놓고 조금만 먹음을 비유적으로 이르는 말.
구경도 못 하다,눈으로 보지도 못하다.
구더기 될 놈,매우 둔하고 어리석은 사람을 놀림조로 이르는 말.
구두장이 셋이면 제갈량의 꾀를 이긴다,여러 사람의 지혜가 어떤 뛰어난 한 사람의 지혜보다 나음을 비유적으로 이르는 말.
구들장 지다,구들방에 누워 있음을 속되게 이르는 말.
구렁이 제 몸 추듯,자기 자랑만 함을 비유적으로 이르는 말.
구르는 돌은 이끼가 안 낀다,부지런하고 꾸준히 노력하는 사람은 침체되지 않고 계속 발전한다는 말.
구름 갈 제 비가 간다, 사람의 긴밀한 관계를 비유적으로 이르는 말.
구름 잡다,막연하거나 허황된 것을 좇다.
구름 잡은 것 같다,허망하고 아리송하다.
구멍에 든 뱀 ,아직 나타나지 않은 재능이나 감추어져 있는 사물은 그 정도를 판단하기가 매우 어려움을 비유적으로 이르는 말.
구복이 원수," 먹고살기 위하여 괴로운 일이나 아니꼬운 일도 참아야 한다는 말.,먹고살기 위하여 어쩔 수 없이 잘못을 저질렀음을 이르는 말."
구새 먹다,"살아 있는 나무의 속이 오래되어 저절로 썩어 구멍이 뚫리다.,속이 쓰지 못하게 되었거나 내용이 비게 되다."
구색 맞추다,여러 가지가 고루 갖추어지게 하다.
구슬이 서 말이라도 꿰어야 보배,아무리 훌륭하고 좋은 것이라도 다듬고 정리하여 쓸모 있게 만들어 놓아야 값어치가 있음을 비유적으로 이르는 말.
국수 먹은 배," 먹은 음식이 쉽게 꺼지는 경우를 비유적으로 이르는 말.,실속 없고 헤픈 경우를 비유적으로 이르는 말."
국에 덴 놈 물 보고도 분다,어떤 일에 한 번 혼이 나면 그와 비슷한 것만 보아도 공연히 겁을 낸다는 말.
국이 끓는지 장이 끓는지 ,일이 어떻게 돌아가는지 도무지 영문을 모르겠다는 말.
군사를 쓸 줄 아는 장수는 총소리보다 북소리를 먼저 울린다,싸움에서 이기려면 군사 지휘를 잘해야 한다는 말.
군입 다시다,"끼니 외의 군음식을 먹다.,무엇을 먹고 싶어서 입을 다시다."
군자도 시속을 따른다,어떤 사람이라도 시대적 풍습을 따라가야 한다는 말.
군침 삼키다,"음식 따위를 보고 먹고 싶어서 입맛을 다시다.,이익, 재물을 보고 몹시 탐을 내다."
굴에 든 뱀 길이를 알 수 없다,남의 숨은 재주나 가지고 있는 보물은 얼마나 되는지 알 수가 없음을 비유적으로 이르는 말.
굵은베가 옷 없는 것보다 낫다,아주 없는 것보다는 하찮은 것이라도 있는 것이 낫다는 말.
굶기를  밥 먹듯 한다,자주 굶는다는 말.
굶으면 아낄 것 없어 통 비단도 한 끼라,호화롭게 살다가도 구차하게 되면 아무리 귀중한 것도 밥 한 끼와 바꾸게 됨을 비유적으로 이르는 말.
굼벵이 꾸부리는 재주 있다,무능한 사람도 한 가지 재주는 있음을 비유적으로 이르는 말.
굼벵이도 제 일 하는 날은 열 번 재주 넘는다,미련한 사람이라도 제 일이 급하게 되면 무슨 수를 내서든지 해냄을 비유적으로 이르는 말.
굼벵이도 제 일을 하려면 한 길은 판다,미련한 사람이라도 제 일이 급하게 되면 무슨 수를 내서든지 해냄을 비유적으로 이르는 말.
굽 잘리다,기세가 눌리어 맥을 추지 못하다.
굽 잡다,남의 약점이나 단점을 잡아서 기를 펴지 못하게 하다.
굽 쥐이다,약점이나 단점을 잡혀 기를 펴지 못하다.
굽이 숙다,등등하던 기세가 꺾이어 수그러들다.
굿 구경 간 어미 기다리듯,몹시 초조하게 기다림을 비유적으로 이르는 말.
굿 구경을 하려면 계면떡이 나오도록,무슨 일이든 착수를 하면 참고 견디어 끝장을 보아야 한다는 말.
굿 뒤에 날장구 ,일이 다 끝나거나 결정된 후에 이러쿵저러쿵하는 것을 비유적으로 이르는 말.
굿 들은 무당 재 들은 중,자기가 평소에 매우 좋아하거나 원하던 일을 하게 되어 신이 나서 좋아하는 사람을 비유적으로 이르는 말.
굿 마친 뒷장구,일이 다 끝나거나 결정된 후에 이러쿵저러쿵하는 것을 비유적으로 이르는 말.
굿 못하는 무당 장구 타박한다,자기의 재간이 모자라는 것은 생각하지 아니하고 객관적인 조건만 탓함을 비유적으로 이르는 말.
굿도 볼 겸 떡도 먹을 겸,한 가지 일을 하여 두 가지 이상의 이익을 보게 됨을 비유적으로 이르는 말.
굿에 간 어미 기다리듯,어떤 일에 희망이 있을 때 몹시 초조하게 기다림을 비유적으로 이르는 말.
굿하고 싶어도 맏며느리 춤추는 꼴 보기 싫다,무엇을 하려고 할 때에 미운 사람이 따라나서 기뻐하는 것이 보기가 싫어 하기를 꺼림을 비유적으로 이르는 말.
