idiom,en_meaning
blood is thicker than water,Family bonds are stronger than other social relationships
blood on hands,to be responsible for someone's death or suffering
blow a fuse,to lose one's temper or become extremely angry
blow a gasket,to become extremely angry or lose control of one's temper
blow a kiss,"to kiss one's hand and blow it towards someone as a gesture of affection, greeting, or farewell"
blow a raspberry,"to make a rude or dismissive sound by vibrating one's lips together, often as a sign of disrespect or mockery"
blow away,to impress or amaze someone greatly
blow cover,to reveal or expose one's true identity or intentions
blow hot and cold,"to frequently change one's opinion, attitude, or behavior, often making it difficult for others to understand or predict"
blow off steam,"to release or relieve one's anger, frustration, or stress"
blow one's own horn,to boast or brag about one's own achievements or abilities
blow someone's cover,to reveal someone's secret or hidden identity or activities
blow someone's mind,"to greatly surprise or impress someone, often with something unexpected or mind-blowing"
blow the lid off,to reveal or expose something secret or scandalous
blow your own trumpet,to boast about oneself or one's achievements
blow one's top,to become extremely angry
blow-by-blow account,"detailed or thorough narration of an event, often describing it in a step-by-step or play-by-play manner"
